Date,Volume BTC
2019-02-10 00:00:00,227.47
2019-02-11 00:00:00,200.5
2019-02-12 00:00:00,819.29
2019-02-13 00:00:00,746.46
2019-02-14 00:00:00,757.49
2019-02-15 00:00:00,774.49
2019-02-16 00:00:00,677.57
2019-02-17 00:00:00,156.52
2019-02-18 00:00:00,206.17
2019-02-19 00:00:00,1233.08
2019-02-20 00:00:00,903.05
2019-02-21 00:00:00,839.83
2019-02-22 00:00:00,732.76
2019-02-23 00:00:00,650.03
2019-02-24 00:00:00,397.88
2019-02-25 00:00:00,508.88
2019-02-26 00:00:00,801.29
2019-02-27 00:00:00,700.01
2019-02-28 00:00:00,754.72
2019-03-01 00:00:00,734.56
2019-03-02 00:00:00,725.8
2019-03-03 00:00:00,137.06
2019-03-04 00:00:00,98.77
2019-03-05 00:00:00,279.63
2019-03-06 00:00:00,276.62
2019-03-07 00:00:00,750.78
2019-03-08 00:00:00,877.47
2019-03-09 00:00:00,890.44
2019-03-10 00:00:00,193.8
2019-03-11 00:00:00,129.31
2019-03-12 00:00:00,842.77
2019-03-13 00:00:00,818.79
2019-03-14 00:00:00,632.9
2019-03-15 00:00:00,695.24
2019-03-16 00:00:00,696.5
2019-03-17 00:00:00,265.15
2019-03-18 00:00:00,166.14
2019-03-19 00:00:00,829.27
2019-03-20 00:00:00,944.72
2019-03-21 00:00:00,838.34
2019-03-22 00:00:00,759.28
2019-03-23 00:00:00,808.58
2019-03-24 00:00:00,264.32
2019-03-25 00:00:00,140.45
2019-03-26 00:00:00,1051.21
2019-03-27 00:00:00,863.07
2019-03-28 00:00:00,1001.61
2019-03-29 00:00:00,981.74
2019-03-30 00:00:00,1030.49
2019-03-31 00:00:00,255.24
2019-04-01 00:00:00,202.76
2019-04-02 00:00:00,1229.4
2019-04-03 00:00:00,2338.95
2019-04-04 00:00:00,2040.13
2019-04-05 00:00:00,1208.77
2019-04-06 00:00:00,879.08
2019-04-07 00:00:00,487
2019-04-08 00:00:00,364.21
2019-04-09 00:00:00,997.19
2019-04-10 00:00:00,922.72
2019-04-11 00:00:00,1138.61
2019-04-12 00:00:00,1281.77
2019-04-13 00:00:00,925.79
2019-04-14 00:00:00,176.67
2019-04-15 00:00:00,190.53
2019-04-16 00:00:00,943.46
2019-04-17 00:00:00,1035.94
2019-04-18 00:00:00,957.43
2019-04-19 00:00:00,1017.38
2019-04-20 00:00:00,247.28
2019-04-21 00:00:00,142.91
2019-04-22 00:00:00,183.18
2019-04-23 00:00:00,1173.81
2019-04-24 00:00:00,1413.1
2019-04-25 00:00:00,1162.16
2019-04-26 00:00:00,1377.64
2019-04-27 00:00:00,1424.58
2019-04-28 00:00:00,335.91
2019-04-29 00:00:00,208.62
2019-04-30 00:00:00,1109.52
2019-05-01 00:00:00,1035.09
2019-05-02 00:00:00,302.36
2019-05-03 00:00:00,1259.32
2019-05-04 00:00:00,1756.58
2019-05-05 00:00:00,442.07
2019-05-06 00:00:00,278.39
2019-05-07 00:00:00,1141.16
2019-05-08 00:00:00,1321.17
2019-05-09 00:00:00,1162.48
2019-05-10 00:00:00,1186.98
2019-05-11 00:00:00,1608.6
2019-05-12 00:00:00,1440.54
2019-05-13 00:00:00,957.74
2019-05-14 00:00:00,2837.1
2019-05-15 00:00:00,2282.3
2019-05-16 00:00:00,1472.32
2019-05-17 00:00:00,1463
2019-05-18 00:00:00,2153.4
2019-05-19 00:00:00,579.88
2019-05-20 00:00:00,799.78
2019-05-21 00:00:00,1391.18
2019-05-22 00:00:00,939.12
2019-05-23 00:00:00,1143.35
2019-05-24 00:00:00,786.99
2019-05-25 00:00:00,891.79
2019-05-26 00:00:00,166.67
2019-05-27 00:00:00,1080.61
2019-05-28 00:00:00,1250.55
2019-05-29 00:00:00,871.33
2019-05-30 00:00:00,957.25
2019-05-31 00:00:00,1575.24
2019-06-01 00:00:00,964.2
2019-06-02 00:00:00,174.7
2019-06-03 00:00:00,207.88
2019-06-04 00:00:00,1237.31
2019-06-05 00:00:00,1860.59
2019-06-06 00:00:00,1149.24
2019-06-07 00:00:00,1001.09
2019-06-08 00:00:00,1044.21
